Train: Collision: 0, Recovery: 0.009009, Smoothness: -0.595341, Status: True, Time: 9.431 , Reward: 29.538, Opt_time: 5.742 , Nav_Metric: 0.500 , World: world_54.world
Train: Collision: 0, Recovery: 0.120482, Smoothness: -7.304765, Status: True, Time: 16.828 , Reward: 29.417, Opt_time: 5.895 , Nav_Metric: 0.350 , World: world_298.world
Train: Collision: 0, Recovery: 0.070968, Smoothness: -3.132917, Status: True, Time: 12.134 , Reward: 29.140, Opt_time: 5.895 , Nav_Metric: 0.486 , World: world_298.world
Train: Collision: 0, Recovery: 0.301724, Smoothness: -8.525749, Status: True, Time: 15.357 , Reward: 29.693, Opt_time: 5.895 , Nav_Metric: 0.384 , World: world_298.world
Train: Collision: 0, Recovery: 0.109091, Smoothness: -2.396188, Status: True, Time: 11.996 , Reward: 29.636, Opt_time: 5.895 , Nav_Metric: 0.491 , World: world_298.world
Train: Collision: 1, Recovery: 0.401235, Smoothness: -3.592783, Status: True, Time: 19.492 , Reward: 46.555, Opt_time: 5.895 , Nav_Metric: 0.302 , World: world_298.world
Train: Collision: 0, Recovery: 0.057143, Smoothness: -3.520221, Status: True, Time: 10.855 , Reward: 29.306, Opt_time: 5.895 , Nav_Metric: 0.500 , World: world_298.world
Train: Collision: 1, Recovery: 0.134921, Smoothness: -3.840329, Status: True, Time: 13.064 , Reward: 45.716, Opt_time: 5.895 , Nav_Metric: 0.451 , World: world_298.world
Train: Collision: 0, Recovery: 0.055556, Smoothness: -2.777651, Status: True, Time: 10.781 , Reward: 29.607, Opt_time: 5.895 , Nav_Metric: 0.500 , World: world_298.world
Train: Collision: 0, Recovery: 0.128205, Smoothness: -2.653418, Status: True, Time: 12.110 , Reward: 29.656, Opt_time: 5.895 , Nav_Metric: 0.487 , World: world_298.world
Train: Collision: 0, Recovery: 0.269036, Smoothness: -16.886395, Status: True, Time: 21.964 , Reward: 29.723, Opt_time: 5.895 , Nav_Metric: 0.268 , World: world_298.world
Train: Collision: 0, Recovery: 0.064220, Smoothness: -2.733928, Status: True, Time: 10.826 , Reward: 29.135, Opt_time: 5.895 , Nav_Metric: 0.500 , World: world_298.world
Train: Collision: 0, Recovery: 0.051020, Smoothness: -2.264885, Status: True, Time: 9.654 , Reward: 9.276, Opt_time: 5.895 , Nav_Metric: 0.500 , World: world_298.world
Train: Collision: 0, Recovery: 0.130769, Smoothness: -3.251403, Status: True, Time: 12.963 , Reward: 30.084, Opt_time: 5.895 , Nav_Metric: 0.455 , World: world_298.world
Train: Collision: 0, Recovery: 0.037037, Smoothness: -2.997873, Status: True, Time: 10.739 , Reward: 29.896, Opt_time: 5.895 , Nav_Metric: 0.500 , World: world_298.world
Train: Collision: 0, Recovery: 0.064815, Smoothness: -3.046203, Status: True, Time: 10.774 , Reward: 9.430, Opt_time: 5.895 , Nav_Metric: 0.500 , World: world_298.world
Train: Collision: 0, Recovery: 0.100000, Smoothness: -2.481280, Status: True, Time: 11.829 , Reward: 29.512, Opt_time: 5.895 , Nav_Metric: 0.498 , World: world_298.world
Train: Collision: 0, Recovery: 0.010417, Smoothness: -0.412504, Status: True, Time: 9.520 , Reward: 30.040, Opt_time: 5.661 , Nav_Metric: 0.500 , World: world_54.world
Train: Collision: 0, Recovery: 0.000000, Smoothness: -0.424183, Status: True, Time: 9.671 , Reward: 29.629, Opt_time: 5.661 , Nav_Metric: 0.500 , World: world_54.world
Train: Collision: 0, Recovery: 0.129412, Smoothness: -2.607954, Status: True, Time: 8.411 , Reward: 29.765, Opt_time: 5.809 , Nav_Metric: 0.500 , World: world_298.world
Train: Collision: 2, Recovery: 0.238806, Smoothness: -12.671332, Status: True, Time: 15.114 , Reward: 45.821, Opt_time: 5.809 , Nav_Metric: 0.384 , World: world_298.world
