rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,running_count,running_percentage,timeout_count,timeout_percentage,success_count,success_percentage
1,4,50.0,0.0,7.890703185790128,10.808095577329563,0.0,20,16.0,80.0,4.0,20.0,,
2,66,50.0,0.09209653544326571,8.431327419200922,11.945650038370337,20.0,20,16.0,80.0,,,4.0,20.0
3,69,50.0,0.06288617411780022,8.29589461568717,11.623264113165124,15.0,20,17.0,85.0,,,3.0,15.0
4,72,50.0,0.10348717938042729,9.048141684378574,13.179278568725639,25.0,20,12.0,60.0,3.0,15.0,5.0,25.0
5,99,50.0,0.07456409373879132,8.762009355181965,12.525292327219011,20.0,20,16.0,80.0,,,4.0,20.0
6,102,50.0,0.0,8.310331030700079,11.638934051754593,0.0,20,18.0,90.0,2.0,10.0,,
7,112,50.0,0.09338365045590888,8.52877630222659,12.057603572900707,25.0,20,15.0,75.0,,,5.0,25.0
8,123,50.0,0.009514754009494154,8.351860774453773,11.712307197553606,5.0,20,12.0,60.0,7.0,35.0,1.0,5.0
9,128,50.0,0.0,8.616854335027417,12.518474443564,0.0,20,17.0,85.0,3.0,15.0,,
10,138,50.0,0.05507009174400497,8.66316792019046,12.43435093557437,15.0,20,16.0,80.0,1.0,5.0,3.0,15.0
11,157,50.0,0.0,7.833988860013338,10.710156902611335,0.0,20,15.0,75.0,5.0,25.0,,
12,161,50.0,0.00800602364018249,8.095210743534128,11.281429512886485,5.0,20,6.0,30.0,13.0,65.0,1.0,5.0
13,163,50.0,0.09810052673568928,8.799914654693472,12.602324434983164,20.0,20,15.0,75.0,1.0,5.0,4.0,20.0
14,181,50.0,0.07324115580607755,8.429102387748209,11.872852772419522,15.0,20,6.0,30.0,11.0,55.00000000000001,3.0,15.0
15,183,50.0,0.04049016222336853,8.359616496629334,12.043730174405704,10.0,20,15.0,75.0,3.0,15.0,2.0,10.0
16,185,50.0,0.0,7.900082446866425,10.818436884087273,0.0,20,16.0,80.0,4.0,20.0,,
17,186,50.0,0.0,8.335547715659803,11.677248266412224,0.0,20,19.0,95.0,1.0,5.0,,
18,201,50.0,0.043156372117241604,8.745159378084008,12.73714610923913,15.0,20,14.0,70.0,3.0,15.0,3.0,15.0
19,203,50.0,0.09884818871768558,9.025242805283083,13.158500705759618,25.0,20,11.0,55.00000000000001,4.0,20.0,5.0,25.0
20,207,50.0,0.04206683752476632,8.691034440092492,12.527834793474913,15.0,20,13.0,65.0,4.0,20.0,3.0,15.0
21,212,50.0,0.025610262351355884,8.329698063701647,11.677668117757724,10.0,20,17.0,85.0,1.0,5.0,2.0,10.0
22,214,50.0,0.07709526585172777,8.09106413493097,11.230216723402666,20.0,20,12.0,60.0,4.0,20.0,4.0,20.0
23,215,50.0,0.0,8.605361009384202,12.27870498859744,0.0,20,15.0,75.0,5.0,25.0,,
24,217,50.0,0.018387184153813747,8.51694370004654,12.036382525689302,5.0,20,16.0,80.0,3.0,15.0,1.0,5.0
25,218,50.0,0.0,8.599278518051241,12.334435525885798,0.0,20,18.0,90.0,2.0,10.0,,
26,223,50.0,0.009427876959990176,8.130412532756335,11.279097055867092,5.0,20,18.0,90.0,1.0,5.0,1.0,5.0
27,226,50.0,0.04564096824335215,7.7971315301654105,10.655258871766696,15.0,20,15.0,75.0,2.0,10.0,3.0,15.0
28,228,50.0,0.0,8.125979676054452,11.260545000754973,0.0,20,16.0,80.0,4.0,20.0,,
29,231,50.0,0.0,8.77293687596789,12.572562957685083,0.0,20,20.0,100.0,,,,
30,233,50.0,0.049747303257788714,8.11819988428399,11.237673385423056,15.0,20,17.0,85.0,,,3.0,15.0
31,240,50.0,0.0,8.267910479682348,11.712947560159616,0.0,20,15.0,75.0,5.0,25.0,,
