rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,True_count,True_percentage,False_count,False_percentage
1,248,52.513200000000005,0.0875,5.636426386209761,16.258204775496417,0,10,7.0,70.0,3.0,30.0
2,299,52.2913,0.025,5.952750231692222,16.81449243756622,0,10,2.0,20.0,8.0,80.0
3,265,50.8315,0.053694563139087895,5.926448862893833,16.73590168086513,0,10,4.0,40.0,6.0,60.0
4,293,50.7569,0.0125,5.500748548945345,15.995344262798074,0,10,1.0,10.0,9.0,90.0
5,223,50.22850000000001,0.0751472797827668,5.639548527933547,16.26082506551267,0,10,6.0,60.0,4.0,40.0
6,128,50.0863,0.053424839941086336,6.259237221782,17.23370867005483,0,10,4.0,40.0,6.0,60.0
7,132,50.017,0.051307053583505756,7.057130194311261,18.9783818988392,0,10,3.0,30.0,7.0,70.0
8,97,50.0,0.0,6.2895053624315285,17.488002699044834,0,10,,,10.0,100.0
9,113,50.0,0.0,5.835858054317954,16.386950335126734,0,10,,,10.0,100.0
10,251,50.0,0.0,5.346329613368487,15.624676256907936,0,10,,,10.0,100.0
11,253,50.0,0.0,5.672092215461143,16.283188619486417,0,10,,,10.0,100.0
12,274,50.0,0.0,5.428944764818247,15.722011039853175,0,10,,,10.0,100.0
13,157,49.783100000000005,0.02672029436323135,5.3550784513056655,15.667977720026675,0,10,2.0,20.0,8.0,80.0
14,231,49.4209,0.014219460921628041,6.286281478842541,17.545873751935776,0,10,1.0,10.0,9.0,90.0
15,266,49.124700000000004,0.026411765780391026,5.91110928008815,16.53745278666713,0,10,2.0,20.0,8.0,80.0
16,255,48.9531,0.0144415196737847,5.70887714224383,16.27198837119773,0,10,1.0,10.0,9.0,90.0
17,291,48.801,0.01517958480450412,5.769760184192016,16.53702524278781,0,10,1.0,10.0,9.0,90.0
18,201,48.748400000000004,0.10211526095563453,6.368573054619567,17.49031875616802,0,10,7.0,70.0,3.0,30.0
19,278,48.438599999999994,0.04267451990053508,5.556162075932194,16.094052161509957,0,10,3.0,30.0,7.0,70.0
20,294,48.3597,0.044776767347543954,5.762581332109306,16.52266753862239,0,10,3.0,30.0,7.0,70.0
21,46,47.9419,0.01913529834453408,5.629413419978479,16.257553223101887,0,10,1.0,10.0,9.0,90.0
22,181,47.68230000000001,0.05741351209215499,5.936426386209761,16.858204775496425,0,10,4.0,40.0,6.0,60.0
23,207,47.621900000000004,0.059382195117686984,6.263917396737456,17.382068880184985,0,10,4.0,40.0,6.0,60.0
24,179,47.599,0.08652083508353038,5.907991044267092,16.732986888565687,0,10,4.0,40.0,6.0,60.0
25,186,47.5713,0.04192731557397896,5.838624133206112,16.671095431319607,0,10,3.0,30.0,7.0,70.0
26,92,47.50610000000001,0.06699103947723906,5.926431390060375,16.852811811673227,0,10,4.0,40.0,6.0,60.0
27,4,47.4174,0.02235479353298908,5.404047788664782,15.781406371580257,0,10,1.0,10.0,9.0,90.0
28,215,47.4096,0.12666842929279548,6.13935249429872,17.2107220187684,0,10,9.0,90.0,1.0,10.0
29,279,47.3601,0.03092639596376901,5.6653019795795405,16.282515505618356,0,10,2.0,20.0,8.0,80.0
30,203,47.133900000000004,0.09487610116632687,6.579250352879809,18.050485610566167,0,10,6.0,60.0,4.0,40.0
31,261,47.13259999999999,0.02491805170924926,5.314023707514477,15.596572533238174,0,10,1.0,10.0,9.0,90.0
32,165,46.7019,0.03710606401375889,6.216810103940253,17.222739568887075,0,10,2.0,20.0,8.0,80.0
33,286,46.671200000000006,0.03362605027176515,5.619585521417408,16.171188073005773,0,10,1.0,10.0,9.0,90.0
34,258,46.626900000000006,0.09353871201490362,6.133502037130083,17.15000802933763,0,10,6.0,60.0,4.0,40.0
35,104,46.563100000000006,0.08317050918143146,6.893722331071804,18.769172671789182,0,10,5.0,50.0,5.0,50.0
36,102,46.4638,0.10130326468733972,5.819467025877295,16.62066206140016,0,10,7.0,70.0,3.0,30.0
37,153,46.001999999999995,0.04867729805612485,5.505248752732308,15.902482410271167,0,10,3.0,30.0,7.0,70.0
38,116,45.5952,0.05988412285829362,5.886684033933141,16.526540714795168,0,10,3.0,30.0,7.0,70.0
39,270,45.422200000000004,0.09045446675666016,5.561306814486313,16.031605603154397,0,10,6.0,60.0,4.0,40.0
40,190,44.8693,0.08291954226843024,5.847085202213513,16.586155309233572,0,10,5.0,50.0,5.0,50.0
41,213,44.824,0.06147092319066848,5.669146453188466,16.161166305582015,0,10,4.0,40.0,6.0,60.0
42,259,44.66550000000001,0.06354497956553604,5.898121650185027,16.585362661376628,0,10,3.0,30.0,7.0,70.0
43,298,44.169700000000006,0.053175701464876046,5.53217364221601,15.99636431460298,0,10,2.0,20.0,8.0,80.0
